19776,Documentary o ritmo do n’gola ritmos (Rhythm of N’gola Rhythms),Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Antonio_Ole_AngolaRitmos4x3/index.m3u8,,
42333,Golpes y sanación [Blows and Healing],Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Antonio-Pichilla%CC%81/Golpes-y-sanacio%CC%81n/Antonio-Pichilla%CC%81_Golpes-y-sanacio%CC%81n_exhibition_H.264index.m3u8,,
42331,Tejiendo el paisaje [Weaving the Landscape],Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Antonio-Pichilla%CC%81/Weaving-the-Landscape/Antonio-Pichilla%CC%81_Weaving-the-Landscape_exhibition_H.264index.m3u8,,
26271,I Can Only Dance to One Song,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Arash_Fayez_ICODTOS/index.m3u8,,
39382,Virtually Asian,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Astria+Suparak/Virtually+Asian.mp4/index.m3u8,,
21780,"Petrogenesis, Petra Genetrix",Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Ayoung_Kim_Petrogenesis_EN_CN/index.m3u8,,
28329,Rehearsal,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Aziz_Hazara_Rehearsal2020/index.m3u8,,
28286,Inner Child,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Bady_Dalloul_Inner_Child/index.m3u8,,
21602,After Scarcity,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Bahar_Noorizadeh_AfterScarcity/index.m3u8,,
28282,The Red City of the Planet of Capitalism,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Bahar_Noorizadeh_the_red_city_of_the_city_of_the_planet/index.m3u8,,
23421,Death at a 30 Degree Angle,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/BaniAbidi_DeathAtA30DegreeAngle/index.m3u8,,
17767,Deep Sleep,Film &amp; Video,https://org-kadist-kvl-media-output.s3.us-west-1.amazonaws.com/HLS/Basma_Alsharif_8DeepSleep/index.m3u8,,
